"Scala_Spark
单选题 （共计 10 题，总计 20分）
1、下面选项中a的取值不一致的是？（ ）。
","[{'optionContent': 'A.val a = 3 \n', 'isCorrect': '-1'}, {'optionContent': 'B.val a:Double = 1 + 2 \n', 'isCorrect': '-1'}, {'optionContent': 'C.var a = 1; a += 2 \n', 'isCorrect': '-1'}, {'optionContent': 'D.val b = 1.+(2); val a = b.toInt \n', 'isCorrect': '-1'}]","【答案解析】
","【正确答案】C
"
"
3、
对于代码：
public void test(int[] arr) {
		int i, j, note;
		for (i = 1; i < arr.length; i++) {
			note = arr[i];
			j = i - 1;
			while (j >= 0 && note < arr[j]) {
				arr[j + 1] = arr[j];
				j--;
			}
			arr[j + 1] = note;
		}
	} 所实现的功能是
","[{'optionContent': 'A.获取最大值 \n', 'isCorrect': '-1'}, {'optionContent': 'B.获取最小值 \n', 'isCorrect': '-1'}, {'optionContent': 'C.升序排序 \n', 'isCorrect': '-1'}, {'optionContent': 'D.降序排序 \n', 'isCorrect': '-1'}, {'optionContent': 'E.反转数组 \n', 'isCorrect': '-1'}]","【答案解析】如果后面的值比前面的小就把前面的值赋值给后面
","【正确答案】C
"
"
4、
数组的声明错误的是:
","[{'optionContent': 'A.int[] a=new int[3]; \n', 'isCorrect': '-1'}, {'optionContent': 'B.int[] a=new int[]{1,2,3}; \n', 'isCorrect': '-1'}, {'optionContent': 'C.int[] a={1,2,3}; \n', 'isCorrect': '-1'}, {'optionContent': 'D.int[] a=new int[3]{1,2,3}; \n', 'isCorrect': '-1'}]","【答案解析】定义数组直接给定元素值时长度就以及确定了无法再次指定
","【正确答案】D
"
"
多选题 （共计 1 题，总计 2分）
5、
下列数组格式定义正确的是
","[{'optionContent': 'A.int[][] a = new int[][]; \n', 'isCorrect': '-1'}, {'optionContent': 'B.int[4][4] a = new int[][]; \n', 'isCorrect': '-1'}, {'optionContent': 'C.int[4][] a = new int[][]; \n', 'isCorrect': '-1'}, {'optionContent': 'D.int[][] a = new int[4][]; \n', 'isCorrect': '-1'}, {'optionContent': 'E.int[][] a = new int[4][4]; \n', 'isCorrect': '-1'}]","【答案解析】二维一定要指定长度。声明的[]不能有值
","【正确答案】D,E
"
"





流程控制语句
1、
下面程序执行的结果是(） 
classDemo{ 
public static void main(String [] args) {
 int a=10; if(a++>10) { a=20; 
} System.out.println(a); 
}
 }
","[{'optionContent': 'A.10 \n', 'isCorrect': '-1'}, {'optionContent': 'B.11 \n', 'isCorrect': '-1'}, {'optionContent': 'C.20 \n', 'isCorrect': '-1'}, {'optionContent': 'D.21 \n', 'isCorrect': '-1'}]","【答案解析】判断为false不执行语句体，但是a已经自加为11
","【正确答案】B
"
"
2、
关于于以下程序代码的说明正确的是( ) 
@Test public void testMethod(){ 
int i = 0 , j = -1;
 switch (i++) { 
case 0 :
 j=0; 
case 1 :
 j=1; 
case 2 :
 j=2;
 } 
System.out.println(j);
 }
","[{'optionContent': 'A.-1 \n', 'isCorrect': '-1'}, {'optionContent': 'B.0 \n', 'isCorrect': '-1'}, {'optionContent': 'C.1 \n', 'isCorrect': '-1'}, {'optionContent': 'D.2 \n', 'isCorrect': '-1'}]","【答案解析】i++的值是0会匹配到case 0，j=-1，但是后面都没有break会发生case穿透效果，所以会一直往下执行到代码最后一行最后j=2
","【正确答案】D
"
"
多选题 （共计 2 题，总计 4分）
3、
对于代码 public class Test {
	public static void main(String[] args){ 
		Outer:for(int i=0;i<2;i++){
			Inner:for(int j=0;j<3;j++){ 
				if(j==2){ 
				continue Outer; 
				} 
				System.out.println(i+"",""+j);
				}
	}
	}
}的输出结果为
","[{'optionContent': 'A.0，0 \n', 'isCorrect': '-1'}, {'optionContent': 'B.0，1 \n', 'isCorrect': '-1'}, {'optionContent': 'C.0，2 \n', 'isCorrect': '-1'}, {'optionContent': 'D.1，0 \n', 'isCorrect': '-1'}, {'optionContent': 'E.1，1 \n', 'isCorrect': '-1'}]","【答案解析】Continue是跳过当此循环，针对的是外层循环
","【正确答案】A,B,D,E
"
"
4、
如下变量的定义，double d = 1.5;int x=1,y=2,z=3;则正确的switch语句是
","[{'optionContent': 'A.switch((int)d){ case 1: System.out.println(x); break; case 2: System.out.println(y); break; }\n', 'isCorrect': '-1'}, {'optionContent': 'B.switch(d){ case 1.5: System.out.println(x); break; case 2.0: System.out.println(y); break; }\n', 'isCorrect': '-1'}, {'optionContent': 'C.switch(x+y){ case 1: System.out.println(x); break; case 2: System.out.println(y);break; }\n', 'isCorrect': '-1'}, {'optionContent': 'D.switch(x+y){ case 1: System.out.println(x); break; case z: System.out.println(y); break; }\n', 'isCorrect': '-1'}]","【答案解析】Switch表达式不支持double类型。Case后的值是常量不能是变量
","【正确答案】A,C
"
"





运算符
1、
下面程序的输出结果是() int i = 3;	System.out.println(i+=i-=i*=i);
","[{'optionContent': 'A.2 \n', 'isCorrect': '-1'}, {'optionContent': 'B.9 \n', 'isCorrect': '-1'}, {'optionContent': 'C.0 \n', 'isCorrect': '-1'}, {'optionContent': 'D.-3 \n', 'isCorrect': '-1'}]","【答案解析】整体是一个连等赋值，用到了扩展赋值需要把整体展开从等号右边先计算再给左边赋值。第一个扩展赋值就是3乘于3作为结果值再和前面的3进行求差为-6，最后在和最前面的3进行求和结果就是-3
","【正确答案】D
"
"
2、
下列语句的输出结果是:（）。 System.out.println(5+7+'I'+""tarena""+5+7);
","[{'optionContent': 'A.84tarena57 \n', 'isCorrect': '-1'}, {'optionContent': 'B.57tarena12 \n', 'isCorrect': '-1'}, {'optionContent': 'C.57tarena57 \n', 'isCorrect': '-1'}, {'optionContent': 'D.85tarena57 \n', 'isCorrect': '-1'}]","【答案解析】代码从右往左依次执行，5和7进行求和，遇见字符需要把字符转成对应的编码值进行求和最后的结果是85，再和字符串直接量以及后面的所有内容进行拼接
","【正确答案】D
"
"
3、
运算符的的优先级顺序正确的是
","[{'optionContent': 'A.()>!>算术运算符>关系运算符>&&>||> = \n', 'isCorrect': '-1'}, {'optionContent': 'B.()>算数运算符>关系运算符>!>&&>||>= \n', 'isCorrect': '-1'}, {'optionContent': 'C.()>关系运算符>算数运算符>&&>!>||>= \n', 'isCorrect': '-1'}, {'optionContent': 'D.()>!>关系运算符>算数运算符>&&>||>=(错误答案) \n', 'isCorrect': '-1'}]","【答案解析】() ~ ++ -- ! * / % + - << >> >>> 关系 逻辑 & | ^ 三元 赋值
","【正确答案】A
"
"
4、
执行语句int i=12;System.out.println(i+=i-=i*=i);的结果是
","[{'optionContent': 'A.100 \n', 'isCorrect': '-1'}, {'optionContent': 'B.0 \n', 'isCorrect': '-1'}, {'optionContent': 'C.-120 \n', 'isCorrect': '-1'}, {'optionContent': 'D.程序无法编译 \n', 'isCorrect': '-1'}]","【答案解析】扩展赋值运算符需要进行展开12+=12-=12*12=144---12+=12-144=-132----132-12
","【正确答案】C
"
"
5、
下列str1,str2输出的结果正确的是？ String str1 = 'a' + 3 + ""Hello""; 　　 String str2 = ""Hello"" + 'a' + 3;
","[{'optionContent': 'A.str1 = 100Hello str2 = Helloa3 \n', 'isCorrect': '-1'}, {'optionContent': 'B.str1 = a3Hello str2 = Helloa3 \n', 'isCorrect': '-1'}, {'optionContent': 'C.str1 = 100Hello str2 = Hello100 \n', 'isCorrect': '-1'}, {'optionContent': 'D.编译异常 \n', 'isCorrect': '-1'}]","【答案解析】字符和整数进行求和会把字符转成对于的编码值进行求和结果为100再和字符串直接量进行拼接结果为100Hello。字符串直接量可以拼接任意数据后面的所有数据直接进行拼接结果为Helloa3
","【正确答案】A
"
"
6、
以下运行结果正确的是
 public class Test3 { 
public static void main(String[] args) {
 boolean b = true ? false : true == true ? false : true; boolean d = false ? false : true == false ? true : false; 
System.out.println(b); 
System.out.println(d); 
}
 }
","[{'optionContent': 'A.true true \n', 'isCorrect': '-1'}, {'optionContent': 'B.true false \n', 'isCorrect': '-1'}, {'optionContent': 'C.false true \n', 'isCorrect': '-1'}, {'optionContent': 'D.false false \n', 'isCorrect': '-1'}]","【答案解析】三目运算符表达式值为true就执行？后面的语句所有b的返回值是false。d的三目运算符表达式是false需要执行：后面的内容相当于又要执行一个三目运算符，此时这个三目运算符的表达式比较完是false接着执行:后面的返回false
","【正确答案】D
"
"  
7、
编译运行以下程序后，关于输出结果的说明正确的是（） public class Text04 { public static void main(String args[]) { int x = 4; System.out.println(""value  is"" + ((x > 4) ? 99.9 : 9)); } }
","[{'optionContent': 'A.输出结果为：value  is  99.9 \n', 'isCorrect': '-1'}, {'optionContent': 'B.输出结果为：value  is  9 \n', 'isCorrect': '-1'}, {'optionContent': 'C.value  is  9.0 \n', 'isCorrect': '-1'}, {'optionContent': 'D.编译错误 \n', 'isCorrect': '-1'}]","【答案解析】执行三目运算符表达式值为false执行:后面的值，如果是基本类型之间可以类型提升java会默认保证:前后类型一致
","【正确答案】C
"
"
8、
以下代码的运行结果正确的是（） public static void main(String[] args) {
		byte a;
		int b, c, d;
		a = 5;
		b = a += a -= a *= a++;
		c = b *= b += b += --b;
		d = c + 2;
		System.out.println(d > b ? a : c);
	}
","[{'optionContent': 'A.-15 \n', 'isCorrect': '-1'}, {'optionContent': 'B.15 \n', 'isCorrect': '-1'}, {'optionContent': 'C.100 \n', 'isCorrect': '-1'}, {'optionContent': 'D.35 \n', 'isCorrect': '-1'}]","【答案解析】进行连等赋值时需要进行展开先把最右边值计算才能传值给左边，a++的值是5和左边的5进行相乘为25，再和左边的5进行求差为-20，再和左边的5进行求和最后b的值为-15。同理可得--b为-16和左边的-15进行求和为-31，再和左边的-15进行求和为-46再和左边的-15进行相乘最后c的值为690再加上2为d的值。d比b大最后三目返回的是a的值为-15
","【正确答案】A
"
"
9、
以下程序的输出结果为：为： 
public static void main(String args[]) {
		int a = 10;
		int b = 20;
		boolean flag = a++ > b-- && b++ > a--;
		System.out.println(flag + "",a="" + a + "",b="" + b);
	}
","[{'optionContent': 'A.false,a=11,b=19 \n', 'isCorrect': '-1'}, {'optionContent': 'B.false,a=10,b=20 \n', 'isCorrect': '-1'}, {'optionContent': 'C.true,a=11,b=19 \n', 'isCorrect': '-1'}, {'optionContent': 'D.true,a=10,b=20 \n', 'isCorrect': '-1'}]","【答案解析】a++为10，b--为20，比较结果为false出现短路右边不执行，所以a自加了依次，b自减了一次
","【正确答案】A
"
"10
、
对于代码 import java.util.Scanner; public class Demo{ public static void main(String[] args){ Scanner sc=new Scanner(System.in); int i=sc.nextInt(); int j=sc.nextInt(); i+=i*=i-=j; System.out.println(i); } } 如果输入的值是-5 3,则输出结果为：
","[{'optionContent': 'A.-5 \n', 'isCorrect': '-1'}, {'optionContent': 'B.5 \n', 'isCorrect': '-1'}, {'optionContent': 'C.15 \n', 'isCorrect': '-1'}, {'optionContent': 'D.25 \n', 'isCorrect': '-1'}, {'optionContent': 'E.35 \n', 'isCorrect': '-1'}]","【答案解析】因为是扩展赋值，所以需要展开从右往左进行计算。
","【正确答案】E
"
"
多选题 （共计 6 题，总计 12分）
11、
两段if执行完之后，各自C的输出值正确的是 int a = 1,b = 2,c = 3; 　　if(a > b && c++ > b) 　　int a = 1,b = 2,c = 3; 　　if(a > b & c++ > b)
","[{'optionContent': 'A.3，4 \n', 'isCorrect': '-1'}, {'optionContent': 'B.3，3 \n', 'isCorrect': '-1'}, {'optionContent': 'C.4，4 \n', 'isCorrect': '-1'}, {'optionContent': 'D.编译异常 \n', 'isCorrect': '-1'}]","【答案解析】&&左边的值为false会出现短路右边默认不执行，&无论左边是什么布尔值右边都要执行
","【正确答案】A
"
"
12、
根据下面的代码： String s = null; 会抛出NullPointerException异常的有
","[{'optionContent': 'A.if((s!=null)&(s.length()>0)) \n', 'isCorrect': '-1'}, {'optionContent': 'B.if((s!=null)&&(s.length()>0)) \n', 'isCorrect': '-1'}, {'optionContent': 'C.if((s==null)|(s.length()==0)) \n', 'isCorrect': '-1'}, {'optionContent': 'D.if((s==null)||(s.length()==0)) \n', 'isCorrect': '-1'}]","【答案解析】Null调用方法会出现空指针异常。&和|都没有短路所以会让null调用到方法
","【正确答案】A,C
"
"
13、
int x=1 int y =1; boolean b = x++>3||true&&y++>3||x++>=3&&y++>=3 x=? , y=? b=?
","[{'optionContent': 'A.x=3 \n', 'isCorrect': '-1'}, {'optionContent': 'B.y=2 \n', 'isCorrect': '-1'}, {'optionContent': 'C.b=false \n', 'isCorrect': '-1'}, {'optionContent': 'D.y=3 \n', 'isCorrect': '-1'}, {'optionContent': 'E.x=2 \n', 'isCorrect': '-1'}]","【答案解析】x++值为1、x自加1为2、第一个||左边为false，第一个||右边是true整体运算结果是true作为第一个&&左边的布尔值。y++值为1、y自加1为2、第一个&&的右边布尔值为false整体运算结果为false作为第二个||左边的布尔值。x++为2、自加1为3、第二个||的右边为false，第二||整体运算结果为false作为第二个&&的左边出现短路后面内容不执行，所有最后x为3、y为2、b为false
","【正确答案】A,B,C
"
"
14、
在//insert code here 处填写下列哪行代码可以实现交换a,b的值？ public class CodeDemo { public static void main(String[] args) { int a = 5 , b = 8 ; //insert code here System.out.println(a + “,” + b); } }
","[{'optionContent': 'A.int t = a ; b = a ; a = t ; \n', 'isCorrect': '-1'}, {'optionContent': 'B.int t = b ; a = b ; b = t; \n', 'isCorrect': '-1'}, {'optionContent': 'C.int a = a + b ; b = a - b ; a = a - b; \n', 'isCorrect': '-1'}, {'optionContent': 'D.int t = a ; a = b ; b = t; \n', 'isCorrect': '-1'}, {'optionContent': 'E.a = a ^ b ; b = a ^ b ; a = a ^ b; \n', 'isCorrect': '-1'}]","【答案解析】笔记有三种交换方式的详细解释，请参考第三天笔记
","【正确答案】C,D,E
"
"
15、
下列程序中不会出现编译错误的是
","[{'optionContent': 'A.short s1 = 3; short s2 = 5; s1 += s2; \n', 'isCorrect': '-1'}, {'optionContent': 'B.short s1 = 3; short s2 = 5; s1 = s1+s2; \n', 'isCorrect': '-1'}, {'optionContent': 'C.short s1 = 3; short s2 = 5; s1 = s1 * s2; \n', 'isCorrect': '-1'}, {'optionContent': 'D.short s1 = 3; short s2 = 5; s1 *= s2 ; \n', 'isCorrect': '-1'}]","【答案解析】扩展赋值运算默认底层有强制类型转换不会出现编译错误
","【正确答案】A,D
"
"
16、
下列各项可能会出现空指针异常的是
","[{'optionContent': 'A.s != null & !s.equals(“”); \n', 'isCorrect': '-1'}, {'optionContent': 'B.s != null && !s.equals(“”); \n', 'isCorrect': '-1'}, {'optionContent': 'C.s != null | !s.equals(“”); \n', 'isCorrect': '-1'}, {'optionContent': 'D.s != null || !s.equals(“”); \n', 'isCorrect': '-1'}, {'optionContent': 'E.s == null || s.equals(“”) \n', 'isCorrect': '-1'}]","【答案解析】只要逻辑运算符的左边是false而且能执行右边内容就会出现空指针异常
","【正确答案】A,C,D
"
"
7、public class test{ public static void main (String args[]){ int i＝0×FFFFFFF1; int j＝~i; } } 当程序运行到第五行的时候i和j分别是多少
","[{'optionContent': 'A.i为-15 j为14 \n', 'isCorrect': '-1'}, {'optionContent': 'B.i为-14 j为15 \n', 'isCorrect': '-1'}, {'optionContent': 'C.编译异常 \n', 'isCorrect': '-1'}, {'optionContent': 'D.运行异常 \n', 'isCorrect': '-1'}]","【答案解析】0xfffffff1是十六进制的补码形式，每个f转变成二进制都是4个1，所以转成二进制的形式就是前面28位都是1中间3位是0最后1位是1，想要得到i的值需要把补码转成原码，最后就是-15。j按位取反就是前28位都是0中间3位是1最后一位是0最后结果就是14
","【正确答案】A
"
"



常量与变量
1、
下列标识符定义不正确的是
","[{'optionContent': 'A.HelloWord \n', 'isCorrect': '-1'}, {'optionContent': 'B.main \n', 'isCorrect': '-1'}, {'optionContent': 'C.char \n', 'isCorrect': '-1'}, {'optionContent': 'D._123 \n', 'isCorrect': '-1'}]","【答案解析】标识符不能是关键字
","【正确答案】C
"
"
2、
以下运行结果正确的是 
public class Demo1{ 　	　
public static void main(String[] args){ 　
　　　	double total = 2.0; 　　　　
        	double used = 1.1; 　　　　 
               double result = total - used;
 　　　  System.out.println(""result : "" + result);
","[{'optionContent': 'A.0.8999999999999999 \n', 'isCorrect': '-1'}, {'optionContent': 'B.0 \n', 'isCorrect': '-1'}, {'optionContent': 'C.Null \n', 'isCorrect': '-1'}, {'optionContent': 'D.编译异常 \n', 'isCorrect': '-1'}]","【答案解析】大部分小数底层二进制补码形式都是无限位数但是double数据类型的存储范围是一定的，所以小数在进行运算时会有无法精确运算小数位的情况
","【正确答案】A
"
"
3、
下列各项中是java中的关键字的是
","[{'optionContent': 'A.System \n', 'isCorrect': '-1'}, {'optionContent': 'B.out \n', 'isCorrect': '-1'}, {'optionContent': 'C.Scanner \n', 'isCorrect': '-1'}, {'optionContent': 'D.true \n', 'isCorrect': '-1'}]","【答案解析】查看关键字表即可
","【正确答案】D
"
"
多选题 （共计 9 题，总计 18分）
4、
下列各项中可以正确赋值的是：
","[{'optionContent': 'A.byte=0b01111111; \n', 'isCorrect': '-1'}, {'optionContent': ""B.short s='测' \n"", 'isCorrect': '-1'}, {'optionContent': 'C.float f=3000; \n', 'isCorrect': '-1'}, {'optionContent': 'D.double d=0x3p2 \n', 'isCorrect': '-1'}, {'optionContent': 'E.int i=2e4; \n', 'isCorrect': '-1'}]","【答案解析】2e4是属于科学计数法，只能小数是这样表示
","【正确答案】A,B,C,D
"
"
5、
下列各项中能正确编译运行的是
","[{'optionContent': 'A.byte b=120+8; \n', 'isCorrect': '-1'}, {'optionContent': 'B.char c=’d’;c++; \n', 'isCorrect': '-1'}, {'optionContent': 'C.byte b=3;b*=2; \n', 'isCorrect': '-1'}, {'optionContent': 'D.short s=’a’;s=s+5; \n', 'isCorrect': '-1'}, {'optionContent': 'E.short s1=3,s2=6;short s=s1+s2; \n', 'isCorrect': '-1'}]","【答案解析】扩展赋值运算符默认含有强制类型转换，BC两个选项都是
","【正确答案】B,C
"
"
6、
下列各项中能正确编译运行的是
","[{'optionContent': ""A.byte b='0'; \n"", 'isCorrect': '-1'}, {'optionContent': 'B.char c=0x20; \n', 'isCorrect': '-1'}, {'optionContent': 'C.long l=213452093726; \n', 'isCorrect': '-1'}, {'optionContent': 'D.float f=-12; \n', 'isCorrect': '-1'}, {'optionContent': 'E.int i=3e5; \n', 'isCorrect': '-1'}]","【答案解析】C选项的右边整数值默认是int类型，数值超过了interesting范围。E选项的初始值是科学记数法表示的，只有小数才能这样表示
","【正确答案】A,B,D
"
"
7、
下列对Java变量的使用说法正确的是
","[{'optionContent': 'A.声明变量可以指定数据类型，也可以不指定 \n', 'isCorrect': '-1'}, {'optionContent': 'B.变量名采用任意命名的方式，尽量做到见名知意 \n', 'isCorrect': '-1'}, {'optionContent': 'C.局部变量声明后，要为其赋一个确定的初值后再使用 \n', 'isCorrect': '-1'}, {'optionContent': 'D.变量是指在内存中开辟的存储空间中存放的运算过程中需要用到的数据 \n', 'isCorrect': '-1'}]","【答案解析】变量声明必须指定类型。变量名要符合标识符语法
","【正确答案】C,D
"
"
8、
下列各项中可以正确编译运行的是:
","[{'optionContent': 'A.byte b = 3 + 5； \n', 'isCorrect': '-1'}, {'optionContent': 'B.char c = 98; c++; \n', 'isCorrect': '-1'}, {'optionContent': ""C.float f = 'a'; \n"", 'isCorrect': '-1'}, {'optionContent': 'D.double d = 123456789012; \n', 'isCorrect': '-1'}, {'optionContent': ""E.byte b = 'a'; \n"", 'isCorrect': '-1'}]","【答案解析】A选项是只有直接量计算会进行编译优化直接计算结果进行赋值。B选项++会默认进行强制类型转换。D选项的值超过了int范围
","【正确答案】A,B,C,E
"
"
9、
下列各项中对于正确赋值的是
","[{'optionContent': ""A.byte b ='a'; \n"", 'isCorrect': '-1'}, {'optionContent': 'B.short s = 2 << 5; \n', 'isCorrect': '-1'}, {'optionContent': 'C.float f = -5; \n', 'isCorrect': '-1'}, {'optionContent': 'D.float f = 3.2f / 1; \n', 'isCorrect': '-1'}]","【答案解析】上述四种赋值都是正确赋值
","【正确答案】A,B,C,D
"
"
10、
下列选项中不会出现语法编译错误的是：
","[{'optionContent': 'A.long l = 999999; \n', 'isCorrect': '-1'}, {'optionContent': 'B.long l = 9999999999L; \n', 'isCorrect': '-1'}, {'optionContent': 'C.byte b = 90+40; \n', 'isCorrect': '-1'}, {'optionContent': ""D.int i = 'A'+'中'; \n"", 'isCorrect': '-1'}]","【答案解析】90+40是属于都是直接量参与运算所以直接计算结果值，结果值大于byte范围就会报错
","【正确答案】A,B,D
"
"
11、
下面哪些是合法的标志符
","[{'optionContent': 'A.2variable \n', 'isCorrect': '-1'}, {'optionContent': 'B.String2 \n', 'isCorrect': '-1'}, {'optionContent': 'C.what$ \n', 'isCorrect': '-1'}, {'optionContent': 'D._3_ \n', 'isCorrect': '-1'}]","【答案解析】不能以数字开头
","【正确答案】B,C,D
"
"
12、
下列各项中可以用作java的标识符的是：
","[{'optionContent': 'A.测试 \n', 'isCorrect': '-1'}, {'optionContent': 'B.T2T \n', 'isCorrect': '-1'}, {'optionContent': 'C.$_$ \n', 'isCorrect': '-1'}, {'optionContent': 'D.cn.tedu \n', 'isCorrect': '-1'}, {'optionContent': 'E.202 \n', 'isCorrect': '-1'}]","【答案解析】标识符不包括.这个符号。标识符不能以数字开头
","【正确答案】A,B,C
"
"



Java的引入
1、
下列命令可以正确编译Java文件的是
","[{'optionContent': 'A.java Test.java \n', 'isCorrect': '-1'}, {'optionContent': 'B.javac cn.tedu.Test.java \n', 'isCorrect': '-1'}, {'optionContent': 'C.javac Test \n', 'isCorrect': '-1'}, {'optionContent': 'D.java Test \n', 'isCorrect': '-1'}, {'optionContent': 'E.javac Test.java \n', 'isCorrect': '-1'}]","【答案解析】javac命令是执行编译命令要跟上.java文件名
","【正确答案】E
"
"
多选题 （共计 3 题，总计 6分）
2、
如果当前路径在C:\User\Test下，则下列各项命令中，能够直接跳转到根目录下的是：
","[{'optionContent': 'A.cd C:// \n', 'isCorrect': '-1'}, {'optionContent': 'B.cd . \n', 'isCorrect': '-1'}, {'optionContent': 'C.cd .. \n', 'isCorrect': '-1'}, {'optionContent': 'D.cd ~ \n', 'isCorrect': '-1'}, {'optionContent': 'E.cd / \n', 'isCorrect': '-1'}]","【答案解析】BCD三个选项都是跳转到其他目录不一定是根目录
","【正确答案】A,E
"
"
3、
对于代码： 
package cn.tedu.test;
 public class Demo{ 
public static void main(String[] args){ 
System.out.println(""Test~~"");
 } 下列说法正确的是：
","[{'optionContent': 'A.可以通过javac Demo.java来编译这个java文件 \n', 'isCorrect': '-1'}, {'optionContent': 'B.可以通过javac -d . Demo.java来编译这个文件 \n', 'isCorrect': '-1'}, {'optionContent': 'C.可以通过java cn.tedu.test.Demo 来运行这段代码 \n', 'isCorrect': '-1'}, {'optionContent': 'D.可以通过java Demo.class来运行对应的class文件 \n', 'isCorrect': '-1'}, {'optionContent': 'E.可以通过javadoc Demo来运行这段代码 \n', 'isCorrect': '-1'}]","【答案解析】.class文件不能直接运行。Javadoc不是运行的命令
","【正确答案】A,B,C
"
"
4、
对于代码： package cn.tedu.text; public class Text{ public static void main(String args[]){ System.out.println(“Text”); } } 的说法正确的是
","[{'optionContent': 'A.可以将程序放入Demo.java编译运行 \n', 'isCorrect': '-1'}, {'optionContent': 'B.可以利用javac Text.java编译此段代码 \n', 'isCorrect': '-1'}, {'optionContent': 'C.可以利用javac -d . Text.java来编译此段代码 \n', 'isCorrect': '-1'}, {'optionContent': 'D.可以利用java Text来运行此段代码 \n', 'isCorrect': '-1'}, {'optionContent': 'E.可以利用java -cp . cn.tedu.text.Text来运行此段代码 \n', 'isCorrect': '-1'}]","【答案解析】公共类的类名要和.java文件名称保持一致。Java命令不能直接运行带包的类
","【正确答案】B,C,D
"
(单选题)不是Mybatis配置文件中的主要元素是（ ）,"[{'optionContent': 'A.properties', 'isCorrect': '-1', 'option': 'A', 'optionValue': 'properties'}, {'optionContent': 'B.transactionManager', 'isCorrect': '-1', 'option': 'B', 'optionValue': 'transactionManager'}, {'optionContent': 'C.mappers', 'isCorrect': '-1', 'option': 'C', 'optionValue': 'mappers'}, {'optionContent': 'D.bean', 'isCorrect': '-1', 'option': 'D', 'optionValue': 'bean'}]",Bean是Spring里的主要元素,D
(单选题)Java是从（）语言改进重新设计,"[{'optionContent': 'A.Ada ', 'isCorrect': '-1', 'option': 'A', 'optionValue': 'Ada '}, {'optionContent': 'B.C++', 'isCorrect': '-1', 'option': 'B', 'optionValue': 'C++'}, {'optionContent': 'C.Pasacal ', 'isCorrect': '-1', 'option': 'C', 'optionValue': 'Pasacal '}, {'optionContent': 'D.BASIC', 'isCorrect': '-1', 'option': 'D', 'optionValue': 'BASIC'}]","ADA: 美国军方为了整合不同语言开发的系统而发明的一种语言,最大的特点是实时性,在ADA95中已加入面向对象内容. Pascal: 为提倡结构化编程而发明的语言,结构化特色非常明显,函数体内允许任意层次的嵌套. BASIC: 为了让大学生简单容易控制电脑开发的语言,特点是简单易懂,且可以用解释和编译两种方法执行.",B
(单选题)在Java中，以下描述错误的是（ ）,"[{'optionContent': 'A..class是源文件', 'isCorrect': '-1', 'option': 'A', 'optionValue': '.class是源文件'}, {'optionContent': 'B..java是编译前的源文件', 'isCorrect': '-1', 'option': 'B', 'optionValue': '.java是编译前的源文件'}, {'optionContent': 'C..class是编译后的文件', 'isCorrect': '-1', 'option': 'C', 'optionValue': '.class是编译后的文件'}, {'optionContent': 'D.Java程序需编译后方可运行', 'isCorrect': '-1', 'option': 'D', 'optionValue': 'Java程序需编译后方可运行'}]","此题目考查的是Java程序的开发过程。Java程序开发需要经过三个步骤：编写（.java）、编译（.class）、运行。编写的源程序为.java后缀的，编译后为.class的字节码文件，因此选项B、C是正确的，A是错误的。Java文件都需要进行编译，编译后的.class文件可以""一次编译、多次运行""，即体现了Java的特点""Write Once,Run more""。因此D是正确的选项。",A
(单选题)Java编程语言之父是（）,"[{'optionContent': 'A.James Gosling', 'isCorrect': '-1', 'option': 'A', 'optionValue': 'James Gosling'}, {'optionContent': 'B.Abigail', 'isCorrect': '-1', 'option': 'B', 'optionValue': 'Abigail'}, {'optionContent': 'C.Brutus', 'isCorrect': '-1', 'option': 'C', 'optionValue': 'Brutus'}, {'optionContent': 'D.以上选项都不对', 'isCorrect': '-1', 'option': 'D', 'optionValue': '以上选项都不对'}]",詹姆斯·高斯林 （James Gosling，1955年5月19日－，出生于加拿大），软件专家，Java编程语言的共同创始人之一，一般公认他为“Java之父”。,A
"(单选题)在控制台运行一个 Java 程序 TestDemo . class ，使用的命令正确的是（ ）
","[{'optionContent': 'A.java TestDemo. class\n', 'isCorrect': '-1', 'option': 'A', 'optionValue': 'java TestDemo. class\n'}, {'optionContent': 'B.javac TestDemo. class\n', 'isCorrect': '-1', 'option': 'B', 'optionValue': 'javac TestDemo. class\n'}, {'optionContent': 'C.java TestDemo\n', 'isCorrect': '-1', 'option': 'C', 'optionValue': 'java TestDemo\n'}, {'optionContent': 'D.javac TestDemo\n', 'isCorrect': '-1', 'option': 'D', 'optionValue': 'javac TestDemo\n'}]",java命令程序执行字节码文件时不能跟文件后缀名 因此C是正确的选项。,C
